HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,ApartmentAge,TotalNearbyFacilities,ParkingToSizeRatio
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,74256,11,14.0,1.3951048951048952
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,195575,9,4.0,0.37589670014347204
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,84955,23,16.0,0.8322981366459627
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,147761,3,8.0,1.4440993788819876
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,143389,3,8.0,1.4440993788819876
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,130973,24,10.0,0.12267080745341614
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,79646,24,10.0,0.12267080745341614
2,0,6,0.0,1.0,2.0,536.0,2006,5,818,151327,10,3.0,0.6552567237163814
2,0,1,0.0,4.0,1.0,605.0,2007,5,1273,295460,9,5.0,0.4752553024351925
0,3,1,0.0,3.0,2.0,108.0,2014,2,206,72920,2,5.0,0.5242718446601942
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,495575,9,5.0,0.772976262933658
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,89380,24,10.0,0.12267080745341614
2,0,4,0.0,5.0,3.0,930.0,2013,7,907,353982,3,8.0,1.0253583241455346
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,277876,11,14.0,0.8730853391684902
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,285840,8,5.0,0.5729794933655006
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,280530,11,14.0,0.8730853391684902
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,228318,30,7.0,0.0
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,469026,9,5.0,0.772976262933658
2,1,4,1.0,5.0,1.0,0.0,1986,4,1377,324778,30,7.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,75221,23,16.0,0.8322981366459627
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1387,343362,9,5.0,0.9156452775775054
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,159292,10,6.0,0.20044296788482835
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,265486,9,5.0,1.4631336405529953
2,0,6,0.0,1.0,2.0,536.0,2006,5,914,318584,10,3.0,0.5864332603938731
2,0,1,0.0,4.0,1.0,605.0,2007,5,1629,371681,9,5.0,0.37139349294045426
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,380530,3,8.0,1.021978021978022
2,0,1,0.0,0.0,0.0,203.0,2014,10,1252,460176,2,0.0,0.1621405750798722
0,3,6,1.0,5.0,2.0,18.0,1986,3,451,53097,30,8.0,0.03991130820399113
2,0,1,0.0,4.0,1.0,605.0,2007,5,1334,376106,9,5.0,0.4535232383808096
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,147141,7,5.0,0.2230769230769231
0,3,3,2.0,5.0,0.0,76.0,1985,3,587,66371,31,7.0,0.12947189097103917
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,256637,9,4.0,0.37589670014347204
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,203539,11,14.0,1.0740242261103634
2,0,6,0.0,1.0,2.0,536.0,2006,5,818,181415,10,3.0,0.6552567237163814
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,334513,8,5.0,0.5196936542669585
2,0,6,0.0,1.0,2.0,536.0,2006,5,914,186725,10,3.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,153097,11,14.0,1.3951048951048952
0,3,3,2.0,5.0,0.0,76.0,1985,3,676,72566,31,7.0,0.11242603550295859
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,256637,9,4.0,0.37589670014347204
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,168761,11,14.0,0.8730853391684902
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,402654,9,5.0,0.772976262933658
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,278761,10,3.0,0.37960339943342775
2,1,4,1.0,2.0,2.0,184.0,2006,5,811,252212,10,5.0,0.22688039457459927
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,370796,9,5.0,0.4079568442346595
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,168141,23,16.0,0.8322981366459627
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,383185,9,5.0,0.4079568442346595
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,251327,10,5.0,0.2021978021978022
0,3,6,1.0,5.0,2.0,18.0,1986,3,508,47787,30,8.0,0.03543307086614173
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,77876,23,16.0,0.8322981366459627
2,0,5,5.0,7.0,5.0,1174.0,2014,9,644,262831,2,17.0,1.8229813664596273
2,0,6,0.0,1.0,2.0,536.0,2006,5,818,291150,10,3.0,0.6552567237163814
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,143362,11,14.0,1.0740242261103634
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,199115,11,14.0,0.8730853391684902
1,2,5,1.0,5.0,4.0,79.0,1992,3,644,159292,24,10.0,0.12267080745341614
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,192035,11,14.0,1.3951048951048952
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,44247,24,17.0,0.0
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,229106,3,8.0,1.021978021978022
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,205309,10,6.0,0.20044296788482835
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,74336,24,17.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,0,5,5.0,7.0,5.0,1174.0,2014,9,910,349557,2,17.0,1.2901098901098902
2,0,1,0.0,2.0,2.0,524.0,2007,4,1394,241592,9,4.0,0.37589670014347204
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,238938,9,5.0,1.4631336405529953
2,0,1,0.0,2.0,2.0,524.0,2007,4,1366,374336,9,4.0,0.383601756954612
2,0,5,5.0,7.0,5.0,1174.0,2014,9,640,265486,2,17.0,1.834375
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,163716,10,6.0,0.20044296788482835
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,74256,11,14.0,1.3951048951048952
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,193769,7,5.0,0.175
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,265486,8,5.0,0.5729794933655006
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,362831,3,8.0,1.021978021978022
1,3,0,5.0,5.0,4.0,798.0,2005,7,1184,186725,11,14.0,0.6739864864864865
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,243362,9,4.0,0.47506799637352676
2,0,4,0.0,5.0,3.0,930.0,2013,7,426,98477,3,8.0,2.183098591549296
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,34513,24,17.0,0.0
0,3,1,0.0,3.0,2.0,108.0,2014,2,281,104424,2,5.0,0.38434163701067614
2,3,7,0.0,1.0,1.0,1321.0,2015,10,644,256637,1,2.0,2.051242236024845
2,0,1,0.0,2.0,2.0,524.0,2007,4,1419,362831,9,4.0,0.3692741367159972
2,0,4,0.0,3.0,2.0,1270.0,2007,10,1643,442477,9,5.0,0.772976262933658
0,0,4,0.0,3.0,2.0,0.0,1978,3,1327,169911,38,5.0,0.0
2,0,1,0.0,4.0,1.0,605.0,2007,5,1273,337168,9,5.0,0.4752553024351925
2,0,5,5.0,7.0,5.0,1174.0,2014,9,1092,415929,2,17.0,1.075091575091575
2,1,4,1.0,2.0,2.0,184.0,2006,5,811,169026,10,5.0,0.22688039457459927
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,228761,9,4.0,0.47506799637352676
2,0,5,5.0,7.0,5.0,1174.0,2014,9,907,337168,2,17.0,1.2943770672546857
1,2,5,1.0,5.0,4.0,79.0,1992,3,914,132743,24,10.0,0.08643326039387308
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,448672,9,5.0,0.35798816568047337
0,1,5,5.0,7.0,5.0,0.0,1992,3,644,53097,24,17.0,0.0
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,199115,9,5.0,1.4631336405529953
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,462831,9,5.0,0.35798816568047337
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,181061,9,5.0,1.4631336405529953
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,255442,3,8.0,1.021978021978022
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,178761,8,5.0,0.5196936542669585
2,1,4,1.0,5.0,1.0,0.0,1986,4,1131,170796,30,7.0,0.0
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,183185,11,14.0,1.0740242261103634
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,147761,3,8.0,1.4440993788819876
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,207079,7,5.0,0.175
2,1,4,1.0,2.0,2.0,184.0,2006,5,811,274336,10,5.0,0.22688039457459927
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,422123,9,5.0,0.35798816568047337
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,271681,11,14.0,0.8730853391684902
1,2,2,1.0,7.0,3.0,56.0,1997,5,558,78761,19,11.0,0.1003584229390681
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,57964,24,17.0,0.0
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,298230,10,6.0,0.20044296788482835
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,162831,7,5.0,0.2230769230769231
1,2,5,1.0,5.0,4.0,79.0,1992,3,914,119469,24,10.0,0.08643326039387308
2,1,4,1.0,2.0,2.0,184.0,2006,5,811,181415,10,5.0,0.22688039457459927
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,183628,11,14.0,0.8730853391684902
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,141592,11,14.0,1.0740242261103634
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,300884,10,5.0,0.2021978021978022
0,3,7,1.0,4.0,1.0,218.0,2014,1,135,53274,2,6.0,1.614814814814815
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,132743,23,16.0,0.5864332603938731
2,3,7,0.0,1.0,1.0,1321.0,2015,10,910,392035,1,2.0,1.4516483516483516
0,3,1,0.0,3.0,2.0,108.0,2014,2,288,101769,2,5.0,0.375
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,198256,7,5.0,0.2230769230769231
2,1,4,1.0,5.0,1.0,0.0,1986,4,1377,307079,30,7.0,0.0
2,0,5,2.0,3.0,1.0,181.0,2006,4,857,254867,10,6.0,0.21120186697782964
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,157522,30,7.0,0.0
2,0,1,0.0,4.0,1.0,605.0,2007,5,1690,422123,9,5.0,0.35798816568047337
2,0,6,0.0,1.0,2.0,536.0,2006,5,1149,291150,10,3.0,0.46649260226283723
2,0,5,5.0,7.0,5.0,1174.0,2014,9,1088,470796,2,17.0,1.0790441176470589
0,0,4,0.0,3.0,2.0,0.0,1978,3,903,222123,38,5.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,1288,185840,23,16.0,0.4161490683229814
2,0,4,0.0,5.0,3.0,930.0,2013,7,907,252814,3,8.0,1.0253583241455346
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,317699,9,5.0,0.4079568442346595
0,1,5,5.0,7.0,5.0,0.0,1992,3,355,38938,24,17.0,0.0
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,227433,9,4.0,0.47506799637352676
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,230088,10,5.0,0.2021978021978022
2,3,3,0.0,3.0,2.0,400.0,2015,7,644,283185,1,5.0,0.6211180124223602
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,252814,3,8.0,1.021978021978022
2,0,1,0.0,2.0,2.0,524.0,2007,4,1366,274336,9,4.0,0.383601756954612
0,3,1,0.0,3.0,2.0,108.0,2014,2,288,107964,2,5.0,0.375
1,3,0,5.0,5.0,4.0,798.0,2005,7,743,240707,11,14.0,1.0740242261103634
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,168141,11,14.0,0.8730853391684902
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,194690,10,6.0,0.20044296788482835
2,0,1,0.0,2.0,2.0,524.0,2007,4,1366,271681,9,4.0,0.383601756954612
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,281415,10,3.0,0.37960339943342775
0,1,5,5.0,7.0,5.0,0.0,1992,3,640,66371,24,17.0,0.0
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,167964,10,6.0,0.20044296788482835
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,261061,10,3.0,0.37960339943342775
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,271681,10,6.0,0.20044296788482835
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,118584,23,16.0,0.8322981366459627
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,115486,23,16.0,0.8322981366459627
1,2,5,5.0,6.0,5.0,536.0,1993,4,1761,194690,23,16.0,0.3043725156161272
2,0,5,5.0,7.0,5.0,1174.0,2014,9,640,250442,2,17.0,1.834375
2,4,7,2.0,2.0,1.0,203.0,2009,5,910,174336,7,5.0,0.2230769230769231
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,307964,9,5.0,1.4631336405529953
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,293805,11,14.0,0.8730853391684902
1,2,5,5.0,6.0,5.0,536.0,1993,4,1761,228318,23,16.0,0.3043725156161272
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,82300,23,16.0,0.8322981366459627
2,4,7,2.0,2.0,1.0,203.0,2009,5,1160,355752,7,5.0,0.175
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,348672,9,5.0,0.4079568442346595
0,3,1,0.0,3.0,2.0,108.0,2014,2,288,105752,2,5.0,0.375
2,0,6,0.0,1.0,2.0,536.0,2006,5,1437,261061,10,3.0,0.3729993041057759
2,0,6,0.0,1.0,2.0,536.0,2006,5,1412,252212,10,3.0,0.37960339943342775
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,292035,3,8.0,1.021978021978022
2,3,7,0.0,1.0,1.0,1321.0,2015,10,910,413274,1,2.0,1.4516483516483516
2,0,6,0.0,3.0,2.0,475.0,2008,8,914,331858,8,5.0,0.5196936542669585
2,0,6,0.0,3.0,2.0,475.0,2008,8,829,215486,8,5.0,0.5729794933655006
0,0,4,0.0,3.0,2.0,0.0,1978,3,903,225663,38,5.0,0.0
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,61946,24,17.0,0.0
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,194690,9,5.0,1.4631336405529953
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,73840,11,14.0,1.3951048951048952
2,0,1,0.0,2.0,2.0,524.0,2007,4,1103,324778,9,4.0,0.47506799637352676
1,2,2,1.0,7.0,3.0,56.0,1997,5,914,90707,19,11.0,0.061269146608315096
2,0,6,0.0,1.0,2.0,536.0,2006,5,818,196460,10,3.0,0.6552567237163814
0,0,4,0.0,3.0,2.0,0.0,1978,3,903,212389,38,5.0,0.0
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,258079,3,8.0,1.021978021978022
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,110619,23,16.0,0.5864332603938731
0,3,7,1.0,4.0,1.0,218.0,2014,1,156,60176,2,6.0,1.3974358974358974
2,0,4,0.0,5.0,3.0,930.0,2013,7,910,325663,3,8.0,1.021978021978022
2,1,4,1.0,5.0,1.0,0.0,1986,4,914,169026,30,7.0,0.0
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,132743,23,16.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,188495,11,14.0,1.3951048951048952
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,183185,11,14.0,0.8730853391684902
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
2,0,6,0.0,1.0,2.0,536.0,2006,5,1149,349557,10,3.0,0.46649260226283723
2,0,5,2.0,3.0,1.0,181.0,2006,4,903,176991,10,6.0,0.20044296788482835
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75088,11,14.0,1.3951048951048952
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,168141,23,16.0,0.5864332603938731
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,283185,11,14.0,0.8730853391684902
2,0,5,5.0,7.0,5.0,1174.0,2014,9,914,345132,2,17.0,1.2844638949671772
0,3,1,0.0,3.0,2.0,108.0,2014,2,288,101769,2,5.0,0.375
0,3,3,2.0,5.0,0.0,76.0,1985,3,587,105309,31,7.0,0.12947189097103917
0,1,5,5.0,7.0,5.0,0.0,1992,3,576,78318,24,17.0,0.0
0,3,3,2.0,5.0,0.0,76.0,1985,3,587,115044,31,7.0,0.12947189097103917
2,0,6,0.0,3.0,2.0,475.0,2008,8,1167,294690,8,5.0,0.4070265638389032
1,2,5,5.0,6.0,5.0,536.0,1993,4,1761,318584,23,16.0,0.3043725156161272
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,197345,11,14.0,0.8730853391684902
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,315929,9,5.0,1.4631336405529953
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,234513,10,5.0,0.2021978021978022
2,1,4,1.0,2.0,2.0,184.0,2006,5,910,188495,10,5.0,0.2021978021978022
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,150778,3,8.0,1.4440993788819876
1,2,5,5.0,6.0,5.0,536.0,1993,4,644,176991,23,16.0,0.8322981366459627
2,3,7,0.0,1.0,1.0,1321.0,2015,10,644,287610,1,2.0,2.051242236024845
2,0,5,5.0,7.0,5.0,1174.0,2014,9,1291,463716,2,17.0,0.9093725793958172
1,3,0,5.0,5.0,4.0,798.0,2005,7,572,75920,11,14.0,1.3951048951048952
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
1,3,0,5.0,5.0,4.0,798.0,2005,7,914,165486,11,14.0,0.8730853391684902
2,1,4,1.0,2.0,2.0,184.0,2006,5,636,210619,10,5.0,0.2893081761006289
2,4,7,2.0,2.0,1.0,203.0,2009,5,914,178761,7,5.0,0.22210065645514224
2,1,4,1.0,2.0,2.0,184.0,2006,5,814,162831,10,5.0,0.22604422604422605
2,0,1,0.0,4.0,1.0,605.0,2007,5,1483,383185,9,5.0,0.4079568442346595
2,0,4,0.0,5.0,3.0,930.0,2013,7,644,149274,3,8.0,1.4440993788819876
1,2,5,5.0,6.0,5.0,536.0,1993,4,914,146017,23,16.0,0.5864332603938731
2,0,4,0.0,3.0,2.0,1270.0,2007,10,868,318584,9,5.0,1.4631336405529953
